timestamp,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2017-08-17 07:59:59.999,1502942400000,4261.48000000,4349.99000000,4261.32000000,4349.99,82.08886500,1502956799999,353194.33293028,334,64.01372700,275647.42191079,0
2017-08-17 11:59:59.999,1502956800000,4333.32000000,4485.39000000,4333.32000000,4427.3,63.61988200,1502971199999,282501.15774965,248,58.78763300,261054.05115395,0
2017-08-17 15:59:59.999,1502971200000,4436.06000000,4485.39000000,4333.42000000,4352.34,174.56200100,1502985599999,774238.79831726,858,125.18413300,555419.75806110,0
2017-08-17 19:59:59.999,1502985600000,4352.33000000,4354.84000000,4200.74000000,4325.23,225.10971600,1502999999999,965291.09880366,986,165.03636300,707808.20092154,0
2017-08-17 23:59:59.999,1503000000000,4307.56000000,4369.69000000,4258.56000000,4285.08,249.76991300,1503014399999,1079544.66293121,1001,203.22668500,878286.96855663,0
2017-08-18 03:59:59.999,1503014400000,4285.08000000,4340.62000000,4134.61000000,4292.39,276.19304300,1503028799999,1175805.57438953,1036,214.65557000,915578.05399653,0
2017-08-18 07:59:59.999,1503028800000,4292.39000000,4340.62000000,4234.43000000,4300.25,248.38902900,1503043199999,1063954.72616754,1135,203.64669900,872408.75176393,0
2017-08-18 11:59:59.999,1503043200000,4285.00000000,4371.52000000,4259.85000000,4340.31,196.14012900,1503057599999,845595.86604280,880,167.10573200,720161.34080559,0
2017-08-18 15:59:59.999,1503057600000,4320.52000000,4340.31000000,4193.70000000,4236.89,175.96938400,1503071999999,749458.52575861,697,147.07831200,626284.07432919,0
2017-08-18 19:59:59.999,1503072000000,4234.54000000,4297.75000000,4015.70000000,4136.28,193.64697000,1503086399999,807331.06009917,753,153.45894400,641094.96292248,0
2017-08-18 23:59:59.999,1503086400000,4135.00000000,4136.48000000,3938.77000000,4108.37,109.54970900,1503100799999,444812.55371386,732,86.92345300,353596.13270036,0
2017-08-19 03:59:59.999,1503100800000,4108.37000000,4184.69000000,4084.28000000,4138.55,108.51044800,1503115199999,449351.42223461,585,92.39917400,382661.64455272,0
2017-08-19 07:59:59.999,1503115200000,4138.50000000,4156.00000000,3933.21000000,4033.47,112.75207900,1503129599999,457214.75420634,493,76.67902700,310960.50822565,0
2017-08-19 11:59:59.999,1503129600000,4033.47000000,4082.25000000,3850.00000000,3957.6,77.25604200,1503143999999,307816.36811400,481,44.21958400,177045.86484426,0
2017-08-19 15:59:59.999,1503144000000,3945.12000000,4100.00000000,3928.89000000,3972.05,47.51557800,1503158399999,192323.93679216,320,33.81475900,137030.52729860,0
2017-08-19 19:59:59.999,1503158400000,4036.19000000,4103.92000000,3953.40000000,4076.12,25.92505600,1503172799999,104478.70292304,161,20.09867300,81056.62024693,0
2017-08-19 23:59:59.999,1503172800000,4088.71000000,4149.99000000,4051.47000000,4139.98,9.35056000,1503187199999,38298.55115136,113,7.12482500,29246.70491919,0
2017-08-20 03:59:59.999,1503187200000,4120.98000000,4139.98000000,4044.00000000,4094.62,6.61128300,1503201599999,27090.32379014,79,5.75838500,23607.94873166,0
2017-08-20 07:59:59.999,1503201600000,4094.62000000,4156.56000000,4081.19000000,4155.87,28.60391000,1503215999999,117539.17487370,275,20.14808700,82819.22457595,0
2017-08-20 11:59:59.999,1503216000000,4155.87000000,4211.08000000,4032.62000000,4106.53,36.01994300,1503230399999,148442.01320702,268,20.25905500,83560.55317922,0
2017-08-20 15:59:59.999,1503230400000,4106.53000000,4125.43000000,4063.35000000,4125.0,29.11326600,1503244799999,119507.05568627,128,22.33098600,91722.20319178,0
2017-08-20 19:59:59.999,1503244800000,4125.00000000,4185.94000000,4091.59000000,4164.6,169.99551700,1503259199999,703376.44563256,689,146.82569800,607419.74852118,0
2017-08-20 23:59:59.999,1503259200000,4161.59000000,4171.62000000,4069.13000000,4086.29,196.73910300,1503273599999,814409.37713677,882,161.47373600,668271.65553751,0
2017-08-21 03:59:59.999,1503273600000,4069.13000000,4119.62000000,4039.00000000,4084.76,220.83814300,1503287999999,901616.43215732,931,192.38554200,785426.80240148,0
2017-08-21 07:59:59.999,1503288000000,4079.26000000,4104.68000000,3953.40000000,4043.63,222.57512900,1503302399999,897752.76476758,1200,179.07342500,722314.65230777,0
2017-08-21 11:59:59.999,1503302400000,4043.63000000,4088.12000000,4000.01000000,4023.11,78.87831400,1503316799999,318369.89414274,454,63.70572200,257161.36030859,0
2017-08-21 15:59:59.999,1503316800000,4023.11000000,4023.11000000,3911.79000000,4022.0,43.76279600,1503331199999,174413.62639185,479,17.95457400,71741.59675776,0
2017-08-21 19:59:59.999,1503331200000,4005.99000000,4042.11000000,3918.80000000,4027.05,24.46693000,1503345599999,97897.65595292,330,17.92331300,71826.65385753,0
2017-08-21 23:59:59.999,1503345600000,4027.05000000,4070.49000000,3950.00000000,4016.0,101.22174800,1503359999999,407181.34061487,578,86.31353100,347191.48752524,0
2017-08-22 03:59:59.999,1503360000000,4016.00000000,4016.00000000,3688.97000000,3862.39,114.68534600,1503374399999,442744.57170483,731,79.20673000,306369.37780113,0
2017-08-22 07:59:59.999,1503374400000,3863.00000000,3868.57000000,3400.00000000,3798.08,167.22151900,1503388799999,627645.60716665,935,109.43445400,413851.45400960,0
2017-08-22 11:59:59.999,1503388800000,3798.08000000,3920.31000000,3750.08000000,3866.48,221.73123600,1503403199999,854175.43470761,1466,138.50272700,532978.70005289,0
2017-08-22 15:59:59.999,1503403200000,3866.48000000,3990.12000000,3786.81000000,3858.23,179.35842100,1503417599999,698287.50405772,1471,42.15569300,164971.01764635,0
2017-08-22 19:59:59.999,1503417600000,3858.23000000,4104.82000000,3853.47000000,3984.24,159.53565500,1503431999999,634541.12778918,1017,28.13859100,112421.52695131,0
2017-08-22 23:59:59.999,1503432000000,3984.50000000,4061.54000000,3944.03000000,4040.0,124.15268100,1503446399999,495111.52671452,874,26.55698600,106596.29288098,0
2017-08-23 03:59:59.999,1503446400000,4040.00000000,4127.99000000,4013.89000000,4100.41,159.65838400,1503460799999,651005.60763807,997,23.42049300,95805.17621647,0
2017-08-23 07:59:59.999,1503460800000,4084.54000000,4115.87000000,4035.32000000,4074.88,141.83960300,1503475199999,578320.10546274,1111,27.28419900,111713.50015777,0
